epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,43206.2,1.42317,1.13591,1.33051,0.77182,0.66682,0.75346,0.43883,1.44888,1.05297,1.3027,0.001076,0.001076,0.001076
72,43812.2,1.42151,1.15325,1.33414,0.79069,0.65802,0.75972,0.46135,1.37433,1.03965,1.27998,0.0010628,0.0010628,0.0010628
73,44420.7,1.42881,1.14432,1.32247,0.79263,0.6595,0.76292,0.44741,1.47182,1.04119,1.31124,0.0010496,0.0010496,0.0010496
74,45029.3,1.405,1.10405,1.31187,0.76735,0.67386,0.75726,0.45839,1.39405,1.02379,1.28827,0.0010364,0.0010364,0.0010364
75,45633.2,1.42101,1.12902,1.31535,0.80076,0.66308,0.76539,0.45248,1.41693,1.02208,1.30046,0.0010232,0.0010232,0.0010232
76,46239.2,1.41919,1.13207,1.32129,0.80156,0.66308,0.76675,0.46004,1.42743,1.02421,1.3044,0.00101,0.00101,0.00101
77,46849.7,1.42903,1.14943,1.32779,0.81801,0.67168,0.77455,0.44445,1.43794,1.01354,1.30854,0.0009968,0.0009968,0.0009968
78,47469.4,1.40766,1.11649,1.31116,0.79089,0.66308,0.75823,0.46169,1.37469,1.02806,1.27923,0.0009836,0.0009836,0.0009836
79,48072.5,1.41083,1.11029,1.3228,0.79543,0.65223,0.74961,0.45798,1.37741,1.04729,1.28599,0.0009704,0.0009704,0.0009704
80,48721.3,1.41536,1.11963,1.31452,0.76145,0.68646,0.76931,0.44782,1.47901,1.02492,1.30084,0.0009572,0.0009572,0.0009572
81,49355.6,1.40246,1.1086,1.31804,0.78559,0.66452,0.76715,0.44666,1.45508,1.04687,1.3009,0.000944,0.000944,0.000944
82,49986.9,1.41694,1.10853,1.30907,0.78438,0.64946,0.75835,0.45664,1.40831,1.02565,1.28191,0.0009308,0.0009308,0.0009308
83,50602.7,1.40531,1.10278,1.30843,0.77929,0.67097,0.76806,0.45539,1.42282,1.02757,1.28575,0.0009176,0.0009176,0.0009176
84,51223.4,1.40561,1.10451,1.31613,0.77557,0.68123,0.77029,0.47383,1.34841,1.0074,1.25435,0.0009044,0.0009044,0.0009044
85,51827.7,1.38133,1.07377,1.29294,0.79275,0.65448,0.76374,0.48306,1.30771,0.99319,1.25342,0.0008912,0.0008912,0.0008912
86,52431,1.39897,1.08177,1.3082,0.79388,0.67369,0.77392,0.47359,1.35471,1.01137,1.26865,0.000878,0.000878,0.000878
87,53036.4,1.37984,1.07626,1.3,0.80669,0.66711,0.77307,0.4598,1.4295,1.00835,1.3,0.0008648,0.0008648,0.0008648
88,53643,1.40607,1.09989,1.30602,0.78164,0.67745,0.77959,0.46185,1.43104,0.99106,1.28966,0.0008516,0.0008516,0.0008516
89,54266,1.37408,1.07691,1.29732,0.77212,0.68961,0.7721,0.46464,1.39606,0.98897,1.28617,0.0008384,0.0008384,0.0008384
90,54882.3,1.39979,1.08661,1.29687,0.78306,0.68602,0.77497,0.46252,1.41263,1.01678,1.27683,0.0008252,0.0008252,0.0008252
91,55486.5,1.37572,1.07173,1.28971,0.7755,0.69534,0.77905,0.47505,1.35823,0.99872,1.25253,0.000812,0.000812,0.000812
92,56097.7,1.3821,1.07496,1.30514,0.80167,0.66643,0.77125,0.47503,1.35147,0.99828,1.26437,0.0007988,0.0007988,0.0007988
93,56701.8,1.37988,1.06518,1.29677,0.7874,0.69462,0.7796,0.47111,1.40228,0.99248,1.26689,0.0007856,0.0007856,0.0007856
94,57307.3,1.37343,1.05919,1.28753,0.7844,0.68602,0.77999,0.48515,1.34273,0.9635,1.25236,0.0007724,0.0007724,0.0007724
95,57917.5,1.37762,1.05195,1.28379,0.80115,0.66953,0.7757,0.48075,1.35131,0.96449,1.25864,0.0007592,0.0007592,0.0007592
96,58519,1.37881,1.072,1.28584,0.78568,0.69462,0.77639,0.46958,1.36752,0.97037,1.26478,0.000746,0.000746,0.000746
97,59128.2,1.37366,1.05623,1.27919,0.77099,0.69021,0.77371,0.46707,1.39136,0.98369,1.26963,0.0007328,0.0007328,0.0007328
98,59744.3,1.35893,1.05357,1.27574,0.80708,0.68376,0.78566,0.47916,1.37139,0.98738,1.25836,0.0007196,0.0007196,0.0007196
99,60355,1.36989,1.06318,1.29255,0.82362,0.6552,0.77796,0.48617,1.3473,0.97292,1.25904,0.0007064,0.0007064,0.0007064
100,60956.7,1.34363,1.03563,1.2667,0.78442,0.68387,0.78398,0.48447,1.33997,0.96783,1.26203,0.0006932,0.0006932,0.0006932
101,61560.9,1.37349,1.0523,1.2804,0.79436,0.6767,0.77333,0.46534,1.41708,0.98625,1.27735,0.00068,0.00068,0.00068
102,62167.1,1.34667,1.04155,1.27447,0.76783,0.69225,0.78592,0.48131,1.36492,0.97226,1.25792,0.0006668,0.0006668,0.0006668
103,62800.9,1.34549,1.03643,1.26934,0.80186,0.67527,0.77115,0.47035,1.38023,0.9903,1.26047,0.0006536,0.0006536,0.0006536
104,63406.1,1.35025,1.05115,1.27804,0.79143,0.68315,0.77203,0.47787,1.34602,0.97826,1.25566,0.0006404,0.0006404,0.0006404
105,64007.5,1.36886,1.0502,1.27647,0.76542,0.69534,0.77451,0.46706,1.37829,0.98926,1.26164,0.0006272,0.0006272,0.0006272
106,64620,1.33794,1.02874,1.26451,0.79342,0.67312,0.7823,0.48404,1.3379,0.95747,1.25128,0.000614,0.000614,0.000614
107,65230,1.35857,1.04032,1.28235,0.80696,0.68921,0.78687,0.47438,1.3875,0.97517,1.26199,0.0006008,0.0006008,0.0006008
108,65835.9,1.35686,1.04755,1.28114,0.76971,0.6996,0.78034,0.4796,1.36552,0.96068,1.26413,0.0005876,0.0005876,0.0005876
109,66443.9,1.35048,1.02984,1.27206,0.81891,0.68674,0.7884,0.48362,1.34204,0.957,1.24484,0.0005744,0.0005744,0.0005744
110,67054.2,1.33801,1.01388,1.27091,0.80606,0.69534,0.78449,0.48317,1.33523,0.95792,1.24894,0.0005612,0.0005612,0.0005612
111,67657,1.32663,1.00966,1.25393,0.80954,0.69606,0.78879,0.49045,1.33364,0.95234,1.24559,0.000548,0.000548,0.000548
112,68267.1,1.32807,1.00121,1.2693,0.80464,0.70323,0.79221,0.49332,1.33468,0.94583,1.24832,0.0005348,0.0005348,0.0005348
113,68883.5,1.3102,0.99803,1.2624,0.81891,0.66455,0.77787,0.48265,1.33584,0.96046,1.24996,0.0005216,0.0005216,0.0005216
114,69495.6,1.3451,1.01726,1.26903,0.78165,0.7147,0.78891,0.50017,1.30241,0.94802,1.23505,0.0005084,0.0005084,0.0005084
115,70102.7,1.3312,1.01423,1.25868,0.81303,0.69825,0.78707,0.491,1.32678,0.94772,1.2359,0.0004952,0.0004952,0.0004952
116,70720.2,1.32364,1.001,1.25292,0.80081,0.69749,0.78387,0.49854,1.27818,0.94464,1.23379,0.000482,0.000482,0.000482
117,71327.6,1.32821,0.9982,1.2576,0.80488,0.69104,0.78919,0.48146,1.38161,0.95829,1.26603,0.0004688,0.0004688,0.0004688
118,71943.3,1.31173,0.99192,1.25585,0.79441,0.69526,0.78585,0.49386,1.32828,0.95552,1.2464,0.0004556,0.0004556,0.0004556
119,72553.8,1.32883,1.01561,1.26113,0.80142,0.69432,0.78929,0.50126,1.29216,0.94128,1.23129,0.0004424,0.0004424,0.0004424
120,73163.4,1.32411,0.9831,1.25299,0.81852,0.69188,0.78413,0.49054,1.31567,0.95434,1.24163,0.0004292,0.0004292,0.0004292
121,73769.2,1.29244,0.96707,1.23072,0.81009,0.68803,0.78159,0.49619,1.32135,0.95566,1.24221,0.000416,0.000416,0.000416
122,74382.4,1.32148,1.00177,1.25172,0.8101,0.67742,0.77724,0.4976,1.30194,0.96082,1.24027,0.0004028,0.0004028,0.0004028
123,74992,1.30438,0.98177,1.24318,0.80196,0.67636,0.78127,0.49394,1.31885,0.94915,1.24972,0.0003896,0.0003896,0.0003896
